Latitude,Longitude,Cd (mg/kg),Cr (mg/kg),Ni (mg/kg),Pb (mg/kg),Zn (mg/kg),Cu (mg/kg),Co (mg/kg)
-33.9322,22.187,0.0010,0.4480,0.0050,0.4650,0.5690,0.1070,0.0260
-33.9272,22.1921,0.0030,0.8810,0.0170,0.2780,1.5870,0.1120,0.0220
-34.0957,21.3816,0.0050,0.8050,0.2480,1.6920,0.2700,0.6700,0.4700
-34.0941,21.6315,0.0100,0.2900,1.6850,3.5130,0.5000,1.8000,9.2000
-34.2451,21.601,0.0010,0.2140,0.0170,0.1310,1.2740,0.0920,0.0210
-33.9605,23.5286,0.0050,0.4420,0.0960,2.0850,0.7620,0.1180,0.0380
-33.9033,23.42,0.0040,0.6300,0.1750,0.8110,0.5760,0.2880,0.0380
-33.9361,23.4913,0.0050,0.4830,0.1180,0.7300,0.7140,0.2760,0.0570
-34.0367,22.4952,0.0070,0.3410,0.4460,1.6950,0.8500,2.2000,5.0200
-33.9493,22.705,0.0140,0.1500,0.0750,1.5600,1.0800,0.2140,0.0460
-29.456,30.4633,0.0230,0.0720,2.7380,12.6660,4.4900,8.2600,9.3500
-29.4824,30.4191,0.0110,0.0690,0.9750,12.6730,0.3900,3.7600,6.3400
-29.4906,30.4439,0.0210,0.0900,6.8900,6.2330,1.2600,12.5200,22.7000
-29.4833,30.4484,0.0160,0.0990,5.6960,8.5600,3.2600,8.4000,9.4600
-29.4513,30.6582,0.0310,0.1350,0.1640,15.8220,1.6500,1.3000,0.6100
-29.4207,30.5596,0.0060,0.1100,0.3950,5.1570,0.1800,0.7500,0.5600
-29.4083,31.1679,0.0030,0.1500,0.0870,3.5980,0.1500,0.3960,0.0580
-29.4127,30.5527,0.0310,0.0980,3.4180,25.7760,0.9400,5.8700,16.9700
-29.4138,30.5528,0.0070,0.0600,0.2070,9.3650,0.1900,1.3500,2.1800
-29.3727,30.6378,0.0070,0.1000,0.2210,5.2500,0.1500,2.4380,0.7230
-29.3894,30.6294,0.0020,0.2280,0.1090,4.1870,0.0900,1.8300,0.1480
-29.4182,31.1949,0.0030,0.0700,0.1090,3.8500,0.1200,0.3620,0.0400
-29.3013,31.3521,0.0070,0.1070,0.1640,18.1230,0.4400,4.3800,0.5000
-29.2028,31.4132,0.0060,0.0770,0.6340,16.7330,0.2200,2.2300,0.8500
-29.4774,31.2173,0.0060,0.1640,0.9170,15.2440,1.6000,4.9600,0.7800
-29.2112,31.1382,0.0040,0.1660,0.0670,5.8640,0.2800,0.3800,0.0440
-29.3121,30.5736,0.0130,0.1220,2.3730,12.2140,1.2200,6.3400,9.0300
-29.4184,30.7873,0.0040,0.4220,0.1450,9.2930,0.1200,1.2290,0.1390
-29.3155,30.511,0.0840,0.1110,0.0670,25.1410,3.3400,1.9900,0.5800
-30.8889,30.3328,0.0050,0.2250,0.1680,0.8530,0.4090,0.3950,0.1880
-30.9783,30.2792,0.0010,0.0540,0.0350,0.1250,0.2100,0.0990,0.0430
-30.9764,30.2755,0.0080,1.2870,3.8560,5.9330,137.4900,0.5970,0.5900
-30.9671,30.236,0.0040,0.1170,0.1330,2.5960,0.6770,0.1880,0.2800
-30.9719,30.2461,0.0060,0.0750,0.1120,4.7320,31.1500,0.3800,0.0670
-30.9069,30.3189,0.0170,0.1600,5.5890,2.6530,8.3500,1.9200,9.7800
-30.8842,30.3356,0.0090,0.1190,0.1270,2.8050,0.5770,0.7550,0.2200
-29.2112,31.1382,0.0090,0.1410,0.0650,13.9290,0.3300,1.9600,0.5500
-29.3267,27.3681,0.0130,0.0860,0.5380,3.3360,0.2600,1.4200,0.6000
-29.3568,27.3354,0.0160,0.0920,0.9220,5.7270,0.2300,2.0900,1.5100
-29.5076,27.2846,0.0240,0.0650,0.4640,7.5280,0.5100,1.3000,1.8600
-29.1636,27.3853,0.0050,0.1580,0.0770,3.5240,0.1000,0.8370,0.0750
-29.1064,27.4596,0.0080,0.0930,0.4510,3.6260,0.1300,1.2500,1.2800
-28.9124,27.4139,0.0100,0.0880,0.6170,6.0300,0.1200,1.1500,0.6800
-28.5382,27.3439,0.0060,0.0670,0.7840,3.3700,0.1100,1.2300,0.9200
-28.6494,27.6108,0.0130,0.1350,0.3040,6.4420,0.3300,0.9000,0.8800
-28.7062,27.7071,0.0100,0.0760,0.3750,5.7620,0.1300,1.8200,1.8200
-28.3108,27.6702,0.0100,0.0660,0.7450,3.6170,0.2600,1.7300,1.1500
-28.4496,27.5595,0.0080,0.0880,0.5630,4.4590,0.1700,1.7100,1.1500
-28.3105,27.9384,0.0250,0.0950,1.0490,12.2020,0.2100,2.0200,2.4900
-28.1235,27.2967,0.0130,0.0880,1.3980,6.9410,0.1800,1.5000,2.5000
-28.2093,27.4381,0.0070,0.0900,0.5820,3.9730,0.1300,1.7600,1.4200
-28.0487,27.4511,0.0910,0.4940,7.9780,3.6440,10.6840,8.2200,6.4500
-28.243,27.7991,0.0100,0.1060,0.7480,9.2860,0.3200,1.6000,1.9900
-28.2098,27.9636,0.0570,0.1500,3.3450,22.9520,3.7700,4.9800,3.4100
-28.308,28.2033,0.0050,0.1690,0.1120,1.8940,0.2790,1.6080,0.4450
-28.3562,28.1258,0.0130,0.1740,1.7430,0.5420,0.4800,2.7730,0.6010
-28.3519,28.1215,0.0080,0.3000,0.2540,2.4890,1.0520,2.3070,0.3010
-27.8964,27.8701,0.0430,0.3080,5.5240,1.6960,0.5500,13.2900,5.3800
-27.8171,27.4184,0.0120,0.0810,0.8690,7.4130,0.3400,1.9900,3.2100
-27.6141,27.4348,0.0070,0.0780,1.2270,3.9320,0.4000,2.6900,1.4800
-27.5444,27.5157,0.0060,0.1000,0.9280,3.2160,0.1800,1.8300,1.6200
-28.1296,26.2456,0.0080,0.0680,1.0220,4.2110,0.1700,0.5000,2.4400
-27.8462,26.2016,0.0050,0.0970,0.4020,3.2080,0.1000,0.3200,1.2700
-27.9007,26.4271,0.0100,0.2220,0.7120,5.5280,0.5400,1.2200,1.1000
-27.9311,26.3272,0.0070,0.0840,0.8700,5.2810,0.1300,0.2900,2.3100
-31.7333,19.9667,0.0510,0.1370,2.0630,9.2720,1.3300,3.3300,8.6900
-32.1965,20.0636,0.0200,0.0830,1.0460,1.3970,0.5000,2.2100,2.1200
-31.3833,19.6333,0.0720,0.1080,2.0340,7.4620,1.8400,2.8300,5.5100
-32.5167,24.8667,0.0270,0.0890,2.6520,10.4960,0.8200,1.7500,3.5100
-32.6333,24.4333,0.0060,0.1040,0.1400,1.9030,0.2200,0.3360,0.1150
-31.95,24.6,0.0150,0.0840,1.2780,0.9720,0.6700,2.9800,3.1500
-30.15,19.6167,0.0160,0.0870,1.2210,3.6970,0.7300,0.7600,2.1500
-31.0333,19.3667,0.0180,0.0560,0.2660,2.5040,5.0600,1.3190,0.1400
-31.1167,19.3667,0.0110,0.0730,0.3360,7.0620,1.6300,1.2200,1.2200
-30.1,19.8333,0.0300,0.0900,3.1530,8.7880,0.7900,1.9300,4.7900
-30,19.2333,0.0230,0.0560,1.7530,9.8730,1.2300,0.9700,3.4300
-31.1833,19.1333,0.0260,0.1050,0.6800,15.1580,0.8300,2.5400,4.1500
-25.2466,30.7695,0.0080,0.2790,0.1150,2.8060,0.5820,2.6990,0.1860
-25.281,30.8078,0.0040,0.1070,0.0960,8.7650,0.1600,2.6900,3.9200
-34.1902,20.6686,0.0070,0.0620,0.5610,2.4060,1.9400,0.5100,2.0400
-34.4261,20.7648,0.0020,0.0580,0.0480,0.7590,1.8380,0.1970,0.0700
-34.4206,20.5296,0.0080,0.0860,0.1910,0.2150,2.4970,0.1220,0.0440
-34.4967,20.4078,0.0100,0.0580,0.1650,0.0730,1.0610,0.1020,0.0310
-34.4019,20.4137,0.0050,0.0920,0.0680,0.4300,0.2650,0.1570,0.1310
-34.3099,20.3713,0.0070,0.0910,0.8590,1.7900,0.8900,1.5900,2.0700
-34.3494,20.1506,0.0280,0.0740,1.9070,3.7280,1.1000,2.9800,9.3200
-34.5112,19.7181,0.0020,0.0440,0.0120,0.0150,0.1750,0.0690,0.0070
-33.6382,19.81,0.0040,0.0620,0.1900,0.4810,0.2690,0.3940,0.2340
-33.5949,19.8808,0.0090,0.0580,1.5990,1.3600,0.7200,1.4400,6.0000
-33.4154,19.9657,0.0100,0.0600,0.3340,0.7330,1.1700,0.5800,1.7600
-33.6107,22.1691,0.0210,0.0420,0.3230,0.9340,4.3800,0.6000,0.1110
-33.991,20.4349,0.0050,0.1780,2.3310,2.6310,0.7830,9.9350,10.2270
-33.9979,20.4461,0.0040,0.1770,0.1250,0.9310,0.1260,0.1790,0.0090
-34.0668,20.2259,0.0190,0.0890,1.5910,2.1880,0.6400,1.3500,3.6200
-34.0088,23.0581,0.0030,0.1060,0.6260,0.2500,0.0480,0.0180,0.0030
-34.0076,23.0577,0.0030,0.0510,0.0760,0.1500,0.0970,0.0320,0.0070
-34.0064,23.0566,0.0040,0.0540,0.0810,0.1680,0.1530,0.1320,0.0170
-33.9496,23.3321,0.0060,0.2170,0.1900,1.4220,0.3210,0.1020,0.0630
-33.3795,22.1257,0.0730,0.0530,2.8060,2.5840,6.0600,7.0900,8.7100
-29.1643,31.1023,0.0040,0.1020,0.0320,16.7150,0.4300,1.3670,0.3340
-29.5172,30.2288,0.0150,0.0720,0.5190,13.6690,0.8200,10.1600,8.3000
-29.4163,30.2517,0.0060,0.3410,0.2880,12.3180,1.9100,1.0650,0.6360
-29.5488,30.2004,0.0270,0.1050,1.8460,17.3290,1.1200,5.2000,5.6400
-29.4014,30.2519,0.0060,0.2580,0.1390,9.7550,0.6400,5.4220,0.6480
-29.2305,31.3283,0.0070,0.1140,0.7300,9.1040,0.5600,1.3200,0.9500
-29.2319,31.3276,0.0040,0.1150,0.9040,1.8380,0.3600,1.2700,0.5330
-29.3978,30.5643,0.0060,0.0780,0.1930,1.9260,0.2900,1.0100,2.0900
-29.3005,30.5605,0.0040,0.2160,0.2190,2.3140,0.4000,1.7200,0.3510
-29.1643,31.1023,0.0130,0.0820,0.3150,8.6880,1.3000,3.9300,5.9600
-33.8173,22.0163,0.0350,0.0680,0.2720,1.5280,1.1500,4.0400,0.6600
-33.7636,21.9576,0.0130,0.0720,0.6310,1.0410,0.4400,0.4300,1.7000
-32.4852,19.5628,0.0110,0.0600,0.2770,4.5630,1.1600,0.4900,1.0200
-32.4782,19.5751,0.0130,0.0600,0.5030,5.5030,0.5500,0.5900,1.5300
-32.4361,19.5533,0.0090,0.0560,0.3620,4.1630,0.4300,0.3900,1.0400
-32.4202,19.5439,0.0120,0.0710,1.7420,12.4940,2.8900,1.6600,2.4900
-32.383,19.5515,0.0050,0.0590,0.5450,5.4850,0.4900,0.5000,1.4300
-32.3442,19.581,0.0090,0.0560,0.2970,4.2980,0.3200,0.4600,1.3100
-32.3546,19.646,0.0160,0.0580,0.4200,3.8170,0.4200,0.5100,1.2400
-32.3189,19.567,0.0500,0.0780,0.8260,22.8430,60.1000,3.1700,2.9100
-32.3114,19.5637,0.0310,0.0720,0.6580,13.3320,24.3700,1.8600,1.6800
-32.2927,19.5437,0.0070,0.0690,0.6180,18.4610,19.2400,0.7800,1.7500
-32.2864,19.5286,0.0120,0.0440,0.1820,10.1840,9.4300,0.7000,0.6500
-25.2948,30.9773,0.0120,0.0710,0.3140,1.1870,0.5900,0.4300,0.8500
-27.481,30.4029,0.0080,0.2530,0.2300,5.2540,0.5800,2.4900,0.2480
-27.63,29.8607,0.0120,0.4090,16.7610,1.0780,4.2630,8.4730,30.3660
-27.6796,30.8725,0.0090,0.0820,0.7620,1.2040,0.5000,12.4700,10.6400
-27.7601,29.8977,0.0030,0.2600,0.0990,1.1140,0.1800,0.8800,0.0720
-27.7209,29.6428,0.0030,0.0650,0.0480,1.4760,0.1400,2.6400,2.0400
-27.7431,31.0155,0.0380,0.2150,0.2800,1.8480,0.1990,0.9310,0.3190
-27.7601,29.8977,0.0040,0.2250,0.1240,3.6050,0.2900,1.2000,0.2300
-27.4658,29.869,0.0060,0.1810,0.0620,4.7140,0.2300,1.2400,0.1370
-27.6314,29.7439,0.0050,0.1290,0.2760,4.4980,0.2200,1.7700,2.1500
-27.6683,31.2826,0.0050,0.1580,0.4700,2.0260,0.2800,2.5000,0.2390
-27.9237,29.9913,0.0170,0.2100,0.0600,3.6300,1.0900,2.4400,0.6490
-27.9624,32.2519,0.0030,0.1460,0.0400,3.9160,0.1600,2.2000,0.5500
-27.5167,29.75,0.0060,0.1980,0.2240,4.1540,0.5200,2.8900,0.3240
-27.971,31.1855,0.0020,0.1430,0.1060,2.0370,0.1600,0.7800,0.2170
-27.918,31.7724,0.0020,0.1930,0.0520,1.0670,0.1300,1.1300,0.1100
-28.7237,32.1677,0.0080,0.1280,0.5690,0.2500,0.2000,0.2000,0.1000
-28.75,32.05,0.0010,0.2550,0.0450,0.9770,0.1100,0.1900,0.0300
-28.6808,32.0726,0.0080,0.1670,0.0380,0.5910,0.1300,0.2400,0.0170
-28.6333,32.1833,0.0020,0.2840,0.0460,0.6020,0.1900,0.2400,0.0630
-28.5891,32.0064,0.0070,0.0840,5.6510,2.0380,0.4400,8.2400,20.0600
-28.4833,32.1667,0.0110,0.0640,1.4780,3.0980,0.2700,1.0700,9.8300
-28.4786,32.213,0.0390,0.1140,9.4500,3.3660,2.5200,7.2300,10.0800
-28.4811,32.2101,0.0210,0.1170,5.7170,2.5220,0.9600,8.5400,6.8900
-28.6836,32.0415,0.1730,0.1920,0.2160,5.6380,22.2460,0.7500,0.0600
-25.9532,28.3618,0.0040,0.0720,0.0590,1.9310,0.1900,1.2400,0.7900
-25.8188,28.6315,0.0120,0.1970,14.7890,3.2750,0.5100,5.4800,6.7100
-25.9762,28.6257,0.0110,0.0530,0.7960,3.0190,1.1100,13.1000,14.0100
-25.8506,28.8608,0.0050,0.0740,0.1680,1.2320,0.6200,0.7600,0.3570
-25.8611,29.1189,0.0020,0.1120,0.0660,0.6930,0.1800,0.5800,0.0380
-25.216,29.2594,0.0330,0.0680,10.1050,3.0450,0.4000,6.9100,15.3100
-25.7075,28.6879,0.0230,0.0790,1.1340,3.9480,0.6200,4.9100,18.0300
-25.6405,29.3712,0.0030,0.0830,0.1570,0.8430,0.1600,0.4800,0.1250
-25.5858,29.6079,0.0030,0.0710,0.1480,2.2640,0.1600,0.8500,0.4390
-25.4459,28.3996,0.0040,0.0810,0.2190,2.5620,0.5500,1.3100,0.6100
-25.4848,28.5827,0.0010,0.0620,0.0240,2.0230,0.2800,0.7400,0.4740
-25.4194,28.8737,0.0020,0.0800,0.0540,2.1570,0.1500,0.7800,0.1560
-25.2657,28.9963,0.0050,0.0640,0.2490,3.0670,0.5300,0.7000,0.5800
-25.4506,29.1301,0.0050,0.0880,0.0600,6.1740,0.5900,1.5700,0.7400
-25.4835,29.4682,0.0070,0.0510,0.9660,2.8410,0.6420,5.3170,14.7400
-25.6124,29.4423,0.0020,0.1580,0.0420,0.8730,1.4820,0.9370,0.0600
-25.4053,29.6116,0.0050,0.0630,0.1340,4.9610,0.6200,1.8700,1.6500
-25.3366,29.6306,0.0140,0.0400,0.8700,3.9320,0.6300,13.1800,22.2500
-25.2423,29.7429,0.0060,0.0670,0.0150,3.1900,0.2830,1.7320,1.0900
-25.0474,28.1341,0.0020,0.0850,0.2830,0.4960,0.2530,0.1820,0.1890
-25.2806,28.2996,0.0170,0.0670,2.2280,3.3680,0.2800,1.3300,6.4800
-25.0822,28.2844,0.0300,0.0640,1.6110,0.7000,0.6300,6.0800,10.1300
-25.229,29.0573,0.0090,0.0600,0.2530,3.0110,1.0300,0.5600,1.0600
-25.1379,29.4002,0.0320,0.0660,1.0050,2.1410,1.4600,1.1800,2.8700
-25.1171,29.0907,0.0290,0.0570,1.5910,3.3220,0.3400,3.8000,4.5300
-25.1855,28.5579,0.0120,0.0740,0.9690,1.6880,0.3400,1.0000,1.8700
-25.2957,28.5945,0.0050,0.0630,0.1440,2.2780,0.1600,1.5400,0.6000
-25.5817,28.7165,0.0020,0.0780,0.0700,1.4300,0.0800,1.0300,0.5600
-25.5273,28.4768,0.0100,0.0510,0.9830,3.5800,0.8200,1.6500,5.4500
-25.8904,28.1925,0.0220,0.0630,9.5410,2.3410,2.2800,16.4700,11.9000
-25.7667,28.4343,0.0150,0.1200,6.4200,4.1140,0.7300,6.9800,16.7900
-25.0733,29.7012,0.0040,0.0680,0.0940,4.1450,0.3800,1.8400,0.6300
-26.0226,28.884,0.0020,0.0070,0.0990,11.1990,14.4800,2.9000,6.7100
-26.1643,29.0919,0.0030,0.0350,0.0790,1.1230,0.2200,0.8900,0.3270
-26.1069,29.5544,0.0090,0.0170,1.3230,1.8530,0.6600,5.4700,9.4300
-26.4724,29.0433,0.0160,0.0790,1.5890,1.5060,0.8800,5.0300,2.1800
-26.7979,29.7756,0.0060,0.0450,0.3540,0.7700,0.1600,1.7800,1.2600
-26.7896,29.1659,0.0160,0.0730,11.3260,0.9640,0.5200,7.3800,10.0500
-26.6729,28.9865,0.0070,0.0310,1.4050,1.4550,0.6200,2.9600,3.6500
-26.6639,28.2528,0.0080,0.0210,1.2080,1.9780,0.7800,4.4800,7.2200
-26.7305,28.3907,0.0050,0.0210,2.6240,1.7150,0.4300,5.1300,10.4600
-26.6424,28.6532,0.0110,0.0270,2.2660,2.3470,0.7100,3.6600,7.6700
-26.5232,28.4489,0.0180,0.0120,0.6810,2.5140,1.7000,9.3900,12.7400
-26.5074,28.7131,0.0080,0.0460,1.3320,1.1660,0.4700,2.4000,1.8200
-26.8212,28.4073,0.0120,0.0410,1.2570,1.3110,0.3500,2.6600,2.1500
-26.7164,28.0734,0.0030,0.0370,0.1250,0.4460,0.2100,0.4600,0.1420
-29.8701,30.8225,0.0100,0.0230,0.3190,1.1330,0.3100,0.5700,1.1200
-30.1357,30.8391,0.0070,0.0730,1.0210,0.6660,0.5650,0.1160,0.0010
-29.9507,30.6319,0.0900,0.1210,3.4140,0.6590,9.2700,24.6300,5.2000
-29.9786,30.6887,0.0080,0.1380,0.1920,6.8780,4.6800,4.4800,0.2860
-29.9565,30.7695,0.0050,0.0540,0.1870,4.8890,0.2000,1.0600,0.3730
-30.3128,30.6374,0.0340,0.0980,0.4460,1.5710,0.5320,0.4190,0.1610
-30.6616,30.3458,0.0530,0.0680,4.7970,1.0570,4.7200,2.5400,2.7900
-30.7611,30.3978,0.0050,0.1320,0.1470,2.4510,0.3540,1.1020,0.1230
-30.4653,30.1639,0.0060,0.1520,0.1410,2.1740,0.7110,1.1820,0.2280
-30.6084,30.0347,0.0070,0.1450,1.2510,4.7950,0.3400,4.8300,4.6700
-25.8625,29.9837,0.0050,0.0260,0.0260,1.7900,0.4100,1.6100,0.8800
-26.5673,30.2893,0.0030,0.0830,0.0290,3.9020,3.3700,2.5570,0.2400
-27.6417,25.8011,0.0040,0.0630,0.0760,0.5780,2.1300,0.1770,0.0300
-27.5278,31.4051,0.0080,0.0230,1.8210,1.3700,0.2900,2.4500,5.0000
-27.4162,32.2414,0.0090,0.0550,0.7950,0.8490,0.4400,0.7700,1.4000
-27.4881,29.869,0.0080,0.0360,0.4880,1.0950,0.1700,0.5100,1.9000
-27.3767,26.26,0.0080,0.0360,0.3930,0.9800,2.1500,0.5800,1.5500
-27.1832,26.2517,0.0060,0.0260,1.1330,0.9780,0.3500,1.9300,3.1700
-27.1369,32.0095,0.0060,0.0300,0.5170,0.6810,0.1300,0.9100,1.2400
-26.8261,25.9015,0.0320,0.1770,0.7220,1.5120,0.7730,0.3530,0.5480
-26.8956,25.7563,0.0080,0.0290,0.9220,1.2630,0.0900,0.4300,2.7400
-26.9342,26.1333,0.0070,0.0320,1.6120,1.5640,0.2900,0.8800,2.6800
-26.6472,25.9559,0.0060,0.0250,1.4790,1.4510,0.1100,0.9700,3.1500
-27.1709,26.1033,0.0070,0.0210,0.4230,1.3020,0.2400,0.7600,2.1900
-26.4033,25.7875,0.0100,0.0490,1.6170,1.5230,0.8500,0.9800,4.2300
-26.1769,25.7637,0.0100,0.0530,1.4230,1.1560,0.2300,0.8000,2.1200
-26.2017,25.6796,0.0080,0.0430,2.2520,1.4510,0.3600,0.9400,3.5100
-26.6615,25.4765,0.0080,0.0390,1.3570,1.4920,0.3100,1.2100,4.9800
-26.8881,25.4209,0.0070,0.0420,0.9220,0.8640,0.1700,0.8900,3.6100
-26.4589,25.4706,0.0070,0.0440,1.7450,1.1380,0.2700,1.9200,2.5900
-27.5573,26.4773,0.0050,0.0340,0.4880,0.8650,0.0800,0.4000,1.5500
-27.6103,26.9641,0.0080,0.0260,0.6480,1.0660,0.2400,0.5300,1.5000
-27.6323,26.7726,0.0110,0.0300,0.3480,0.5710,0.3400,0.3600,0.4320
-27.4395,26.6393,0.0130,0.0460,1.8120,1.0360,0.2500,0.2700,6.4000
-27.357,27.1088,0.0090,0.0280,0.4010,1.2450,7.6800,0.9000,1.0500
-27.1714,26.5515,0.0310,0.1790,0.3000,1.3220,0.2800,0.3560,0.4590
-25.9628,26.1194,0.0310,0.0380,1.5940,5.2790,5.5900,2.2800,3.8800
-26.0643,25.9338,0.0110,0.0370,0.7540,0.5920,0.3700,1.2100,0.9400
-26.5282,26.1584,0.0050,0.0260,0.4380,1.7400,0.4000,1.3900,4.3200
-26.1802,26.3031,0.0350,0.1700,0.2170,0.4440,0.2030,0.3080,0.1930
-26.0148,26.4918,0.0120,0.0460,1.3840,2.4180,0.1600,1.9500,4.5100
-26.1684,26.8068,0.0140,0.0610,2.3120,5.1940,0.8200,3.1600,4.0100
-26.2012,26.8999,0.0120,0.0330,0.9550,2.1900,0.2400,3.4300,5.4400
-27.6665,20.7878,0.0130,0.5170,1.8770,1.1900,49.2270,1.2710,1.1710
-30.1359,30.1499,0.0180,0.1130,8.6670,0.6330,3.3500,8.9400,8.0700
-30.1404,30.1249,0.0090,0.1700,0.2640,1.7170,0.6400,6.7000,3.8000
-30.1187,30.0872,0.0100,0.2180,0.1390,2.5560,0.4600,3.6100,0.4570
-30.179,30.0594,0.0140,0.1710,0.2250,3.1960,0.4000,1.6400,0.5500
-28.3889,32.1768,0.0070,0.0560,2.4760,0.8190,0.7100,4.0300,3.8000
-28.3826,32.0584,0.0200,0.0610,6.6900,1.2360,0.4500,9.7600,7.9600
-28.2461,32.094,0.0070,0.0530,3.4030,1.4670,0.2100,4.1300,3.1100
-28.2305,32.0791,0.0040,0.0510,1.1110,2.3170,0.4500,3.8800,1.4000
-28.2115,32.0703,0.0060,0.0650,0.3070,1.4550,0.3600,1.2100,0.2560
-28.2742,32.0238,0.0070,0.0380,0.8610,3.2530,0.3500,0.9500,1.8200
-28.2943,32.014,0.0040,0.0490,1.2770,3.3760,0.4000,1.5900,1.2300
-27.9624,32.2519,0.0070,0.0200,2.7800,1.7430,0.3200,28.8300,14.2700
-27.8629,32.1031,0.0270,0.3920,8.3110,0.7380,2.5850,39.6420,15.3990
-27.6662,32.2167,0.0090,0.0160,2.0190,1.0190,0.3800,10.2200,7.2200
-27.6697,32.2078,0.0270,0.0550,10.1400,0.9830,0.7900,26.4900,15.0800
-27.6619,32.2893,0.0070,0.0600,3.1770,2.0820,0.7800,11.8400,3.7100
-27.6207,32.2356,0.0040,0.1980,0.5150,0.5900,0.1300,0.2900,0.3660
-27.602,32.2308,0.0110,0.1220,6.5010,0.9240,0.4600,2.0600,9.6600
-27.6014,32.2587,0.0050,0.0480,1.8550,0.7380,0.2900,1.4800,2.3600
-27.5884,32.2645,0.0380,0.0890,12.2670,1.9810,1.0800,7.3700,9.8200
-27.6237,32.2973,0.0210,0.0460,8.9690,3.1700,1.0400,7.5500,11.8300
-27.6899,32.2369,0.0220,0.1200,4.1070,1.7840,1.6500,4.9400,6.9600
-27.7663,32.1193,0.0130,0.1440,12.7110,0.4580,0.3600,6.8900,3.0000
-27.9674,32.2225,0.0130,0.0960,13.2390,0.8020,0.4300,24.4800,14.2600
-27.4292,32.3812,0.0090,0.2790,5.5310,0.5330,0.4000,0.5200,4.1500
-27.4022,32.4839,0.0340,0.1670,0.1420,0.3690,1.0600,1.1780,0.0500
-27.0859,32.5162,0.0120,0.2230,1.6750,0.5050,40.8600,0.3600,0.8700
-27.6663,32.0909,0.0180,0.1300,12.7480,1.9540,3.2800,27.7200,9.1200
-27.5005,32.1239,0.0110,0.3850,6.9820,1.2420,1.6190,15.3650,11.1800
-28.6909,32.0358,0.0270,2.3880,7.9410,2.0900,2.9500,1.1600,2.4400
-28.3421,32.1074,0.0050,0.3120,2.9870,1.4910,0.1400,2.4800,0.9600
-27.7856,32.3145,0.0050,0.0720,0.1940,0.4980,0.2900,0.3300,0.5300
-27.7362,32.3389,0.0100,0.0600,2.4510,0.6450,0.3400,3.7900,3.3200
-27.8412,32.4192,0.0050,0.0490,1.2320,0.8730,0.1400,0.6200,1.8600
-27.8247,32.4018,0.0100,0.0650,1.6510,0.8350,0.4000,1.6800,3.5100
-27.939,26.9142,0.0070,0.0380,0.7320,1.6460,0.5100,1.2400,2.2200
-27.2747,27.4513,0.0070,0.0480,1.1430,1.4210,0.0700,0.6300,3.1400
-27.3012,27.7072,0.0100,0.0630,1.8240,1.7520,0.3800,3.9900,2.2800
-27.3488,27.9153,0.0230,0.0560,4.0460,1.8410,0.4500,4.8600,5.1200
-27.1394,27.905,0.0480,0.0470,4.5780,4.8300,4.5400,4.3800,3.6500
-27.0468,27.7221,0.0250,0.0500,9.7910,1.8570,0.4000,5.4600,11.4200
-26.8281,27.3808,0.0180,0.0560,6.5590,2.6880,0.4900,6.1600,13.1900
-26.9455,27.4088,0.0100,0.0400,0.6530,1.2350,0.8800,1.4200,1.4500
-26.7854,27.8238,0.0130,0.1080,0.1530,0.4620,0.5000,0.3600,0.0710
-26.1719,26.155,0.0160,0.4510,1.4410,2.6410,149.8200,0.9020,0.4040
-26.5479,27.6866,0.0110,0.0780,1.9740,1.9230,2.2100,2.9200,2.8700
-26.3269,27.466,0.0130,0.0450,0.4390,2.5300,1.0800,1.9900,3.4400
-26.3839,27.7146,0.0070,0.1080,0.2320,2.7060,0.5600,2.1600,1.9800
-26.1479,27.643,0.0080,0.1060,0.2130,1.3720,1.1600,1.4500,0.5200
-26.1338,27.4446,0.0100,0.0610,1.0000,3.2720,0.2000,2.8300,5.4400
-27.0229,27.0557,0.0030,0.1100,0.1520,0.4510,0.0900,0.6500,0.1420
-26.9159,26.6087,0.0100,0.0570,2.8640,1.6610,0.3200,2.0800,5.5500
-26.8497,26.9323,0.0480,0.0760,7.1910,3.8020,1.5300,6.1400,6.1200
-26.5599,26.0272,0.0080,0.0520,1.6450,1.3710,0.4800,1.3500,2.7800
-26.7104,26.3909,0.0030,0.0630,0.1240,0.8090,0.2400,0.8400,0.9600
-26.6988,26.7907,0.0050,0.0480,0.5720,1.2720,0.2700,1.6900,1.3400
-26.7431,27.1696,0.0090,0.0640,1.4000,1.4120,0.2900,3.9400,5.3700
-26.7792,26.9896,0.0080,0.0650,4.7370,0.9060,0.5300,5.7300,3.3700
-26.6637,27.1711,0.2170,0.4420,14.7710,3.5040,7.1940,12.8950,20.5180
-26.5438,27.0091,0.0060,0.0820,0.7970,2.8220,0.1600,2.1700,7.4300
-26.257,25.8709,0.0080,0.0590,3.1560,1.5670,0.2700,4.3000,2.7100
-26.3543,26.6346,0.0050,0.0430,0.8240,1.2410,0.0800,1.4900,1.9100
-26.401,26.8706,0.0260,0.0590,1.3190,1.6010,2.2100,1.9800,2.1800
-26.3313,27.2445,0.0210,0.0410,1.6580,2.2470,0.3000,2.6400,4.4100
-26.3954,27.0049,0.0150,0.0660,4.2400,2.1230,3.2300,3.3500,6.4300
-26.8403,26.5635,0.0230,0.0460,1.5640,1.8730,7.5200,1.7100,2.8200
